Load,Transportadora,Origem_Cidade,Destino_Cidade,Peso Bruto (kg),Cubagem,Data de Coleta,Data de Entrega,Prazo Contratado (dias),Prazo Realizado,Status Transporte,Tipo_Veiculo,Tipo_Transporte, Valor do Frete ,Valor do Frete (MT)
730399,QuickMove,Maputo,Chimoio,5482,42.1,12/21/2022,12/30/2022,2,9,Atraso,Carreta,Convencional,8.948,2559.74
929857,ExpressCargo,Maputo,Cuamba,14172,39.77,4/18/2022,4/20/2022,3,2,Dentro do Prazo,Carreta,Urgente,8.8127,2023.58
483891,QuickMove,Maputo,Montepuez,1292,34.59,3/28/2023,3/29/2023,1,1,Dentro do Prazo,Truck,Convencional,5.082,2161.1
710212,QuickMove,Maputo,Chokw�,5174,23.78,12/16/2022,12/22/2022,2,6,Atraso,Truck,Convencional,4.433,2532.32
948138,QuickMove,Maputo,Tete,8130,2.78,9/21/2022,9/22/2022,1,1,Dentro do Prazo,Truck,Convencional,4.249,2431.1
365858,Cargas Maputo,Moamba,Mutarara,9600,27.18,8/28/2022,9/1/2022,4,4,Dentro do Prazo,Truck,Convencional,4.796,2565.76
626542,QuickMove,Maputo,Tete,1164,15.14,8/28/2023,8/28/2023,1,0,Dentro do Prazo,VUC,Convencional,63840.0,76608.0
375524,TransLift,Matola,Nampula,18827,38.9,1/3/2023,1/5/2023,4,2,Dentro do Prazo,Carreta,Convencional,11.8044,2068.17
741195,QuickMove,Maputo,Tete,4296,51.19,3/18/2022,3/19/2022,1,1,Dentro do Prazo,Truck,Convencional,4.243,2407.09
385047,QuickMove,Maputo,Cuamba,4469,41.62,6/10/2022,6/12/2022,3,2,Dentro do Prazo,Truck,Convencional,3.446,2545.14
701649,QuickMove,Maputo,Mocuba,306,6.94,5/3/2022,5/10/2022,1,7,Atraso,VUC,Convencional,52800.0,63360.0
280018,ExpressCargo,Maputo,Mandimba,903,23.94,2/6/2022,2/6/2022,3,0,Dentro do Prazo,VUC,Urgente,1.2584,2042.51
653233,QuickMove,Maputo,Nacala,3208,31.08,7/29/2022,7/30/2022,1,1,Dentro do Prazo,Toco,Convencional,1.626,2218.95
346027,QuickMove,Maputo,Nametil,8824,24.34,1/15/2023,1/20/2023,2,5,Atraso,Truck,Convencional,4.4256,2445.31
315344,TransLift,Matola,Macia,6126,51.01,5/10/2023,5/16/2023,6,6,Dentro do Prazo,Truck,Convencional,5.0268,2312.03
591962,QuickMove,Maputo,Maganja da Costa,5092,90.96,2/12/2022,2/15/2022,1,3,Atraso,Carreta,Convencional,7.566,2018.08
491783,QuickMove,Maputo,Quelimane,11204,37.19,7/15/2022,7/16/2022,2,1,Dentro do Prazo,Truck,Convencional,3.516,2057.22
983763,QuickMove,Maputo,Beira,9702,24.8,1/3/2022,1/5/2022,3,2,Dentro do Prazo,Truck,Convencional,3.678,2357.41
762292,Cargas Maputo,Moamba,Gur��,6104,36.04,7/20/2023,7/30/2023,7,10,Atraso,Truck,Convencional,5.3016,2570.36
443548,QuickMove,Maputo,Massinga,20980,9.42,3/2/2022,3/10/2022,1,8,Atraso,Carreta,Convencional,8.686,2537.42
104167,QuickMove,Maputo,Massinga,4161,40.9,8/14/2022,8/15/2022,1,1,Dentro do Prazo,Truck,Convencional,5.24,2370.29
399465,QuickMove,Maputo,Vilankulo,7669,54.53,8/2/2023,8/7/2023,2,5,Atraso,Truck,Convencional,6.2136,2153.46
896351,QuickMove,Maputo,Massinga,2032,39.04,11/18/2022,11/18/2022,1,0,Dentro do Prazo,Truck,Convencional,3.828,2539.59
941549,TransLift,Matola,Xai-Xai,4635,53.02,4/12/2022,4/15/2022,14,3,Dentro do Prazo,Truck,Convencional,5.012,2488.01
747106,QuickMove,Maputo,Cuamba,23366,20.21,1/27/2022,1/28/2022,3,1,Dentro do Prazo,Carreta,Convencional,7.747,2032.3
653027,QuickMove,Maputo,Chokw�,493,10.35,8/21/2023,8/27/2023,2,6,Atraso,VUC,Convencional,1.0272,2516.23
442250,QuickMove,Maputo,Ressano Garcia,2452,8.18,2/28/2023,2/28/2023,1,0,Dentro do Prazo,Truck,Convencional,6.0636,2569.28
776920,QuickMove,Maputo,Quelimane,19886,63.08,7/14/2022,7/15/2022,2,1,Dentro do Prazo,Carreta,Convencional,9.165,2192.0
777624,QuickMove,Maputo,Xai-Xai,5603,27.73,4/16/2022,4/17/2022,2,1,Dentro do Prazo,Truck,Convencional,5.722,2314.87
938470,TransLift,Matola,Macomia,1338,19.2,9/24/2022,9/30/2022,5,6,Atraso,VUC,Convencional,71800.0,86160.0
498107,Cargas Maputo,Moamba,Mandimba,18053,46.45,8/8/2023,8/18/2023,3,10,Atraso,Carreta,Convencional,8.622,2211.35
419167,QuickMove,Maputo,Massinga,7461,26.71,11/28/2022,11/29/2022,1,1,Dentro do Prazo,Truck,Convencional,3.091,2237.71
292052,QuickMove,Maputo,Massinga,9373,30.39,2/15/2023,2/23/2023,1,8,Atraso,Truck,Convencional,5.6292,2597.76
556000,TransLift,Matola,Lichinga,6677,34.16,2/17/2022,2/20/2022,9,3,Dentro do Prazo,Truck,Convencional,4.822,2350.79
306721,Cargas Maputo,Moamba,Nametil,1461,13.99,7/4/2023,7/6/2023,4,2,Dentro do Prazo,Truck,Convencional,6.0984,2450.32
765532,QuickMove,Maputo,Nacala,5820,41.69,8/12/2023,8/13/2023,1,1,Dentro do Prazo,Truck,Convencional,3.7728,2484.53
648638,QuickMove,Maputo,B�zi,6992,26.81,11/3/2022,11/8/2022,2,5,Atraso,Truck,Convencional,3.961,2369.75
335788,Cargas Maputo,Moamba,Manica,16581,47.86,3/6/2023,3/9/2023,5,3,Dentro do Prazo,Carreta,Convencional,10.2408,2047.29
536981,Cargas Maputo,Moamba,Macomia,1734,31.38,11/12/2022,11/17/2022,7,5,Dentro do Prazo,Truck,Convencional,3.663,2545.4
930126,QuickMove,Maputo,Marracuene,1316,18.98,3/19/2023,3/22/2023,3,3,Dentro do Prazo,VUC,Convencional,67680.0,81216.0
180062,QuickMove,Maputo,Marromeu,8326,29.95,12/17/2022,12/19/2022,2,2,Dentro do Prazo,Truck,Convencional,4.171,2437.01
508869,ExpressCargo,Maputo,Gur��,3407,18.62,8/23/2023,8/23/2023,1,0,Dentro do Prazo,Toco,Urgente,4.095,2229.91
884135,QuickMove,Maputo,Pemba,7023,47.84,8/5/2023,8/7/2023,2,2,Dentro do Prazo,Truck,Convencional,3.7788,2226.53
239839,QuickMove,Maputo,Vilankulo,9040,18.35,3/24/2023,3/26/2023,2,2,Dentro do Prazo,Truck,Convencional,4.9776,2240.97
421782,Cargas Maputo,Moamba,Ressano Garcia,510,13.85,1/21/2023,1/23/2023,4,2,Dentro do Prazo,VUC,Convencional,77160.0,92592.0
202914,Cargas Maputo,Moamba,Beira,22180,21.08,5/26/2023,5/29/2023,4,3,Dentro do Prazo,Carreta,Convencional,10.14,2091.17
585441,ExpressCargo,Maputo,Mueda,10370,26.9,7/15/2022,7/16/2022,2,1,Dentro do Prazo,Truck,Urgente,6.9862,2039.38
216926,QuickMove,Maputo,Gur��,6862,12.6,6/14/2023,6/18/2023,1,4,Atraso,Truck,Convencional,6.2328,2048.48
694043,QuickMove,Maputo,Chokw�,7717,26.47,2/25/2022,3/5/2022,2,8,Atraso,Truck,Convencional,5.342,2489.41
552421,QuickMove,Maputo,Manica,1327,15.49,6/20/2022,6/21/2022,1,1,Dentro do Prazo,Truck,Convencional,5.63,2300.76
606324,QuickMove,Maputo,Maganja da Costa,4271,63.73,2/15/2022,2/15/2022,1,0,Dentro do Prazo,Carreta,Convencional,9.272,2072.13
873424,ExpressCargo,Moamba,Mocuba,11066,56.39,9/8/2022,9/10/2022,2,2,Dentro do Prazo,Truck,Urgente,6.435,2393.72
860284,TransLift,Matola,Xai-Xai,8688,57.11,1/17/2023,1/24/2023,14,7,Dentro do Prazo,Truck,Convencional,5.4744,2136.57
193904,QuickMove,Maputo,Cuamba,1227,16.94,2/20/2023,2/20/2023,3,0,Dentro do Prazo,Truck,Convencional,5.0844,2550.1
363994,QuickMove,Maputo,Marracuene,1549,11.68,1/23/2023,1/26/2023,3,3,Dentro do Prazo,VUC,Convencional,65400.0,78480.0
910962,QuickMove,Maputo,Macomia,17886,65.09,4/19/2022,4/20/2022,1,1,Dentro do Prazo,Carreta,Convencional,6.966,2259.36
248514,QuickMove,Maputo,Angoche,12433,8.64,4/27/2023,4/27/2023,1,0,Dentro do Prazo,Carreta,Convencional,7.1664,2257.6
648607,QuickMove,Maputo,Mutarara,5187,47.28,11/22/2022,11/25/2022,3,3,Dentro do Prazo,Truck,Convencional,5.341,2532.41
557339,TransLift,Matola,Maxixe,1382,24.05,4/21/2023,4/26/2023,8,5,Dentro do Prazo,VUC,Convencional,74280.0,89136.0
218271,QuickMove,Maputo,Mutarara,5460,6.65,6/25/2023,7/5/2023,3,10,Atraso,Carreta,Convencional,7.2132,2564.66
471376,Cargas Maputo,Moamba,Mueda,17189,26.48,3/23/2023,4/1/2023,7,9,Atraso,Carreta,Convencional,9.8352,2029.8
356954,TransLift,Matola,Nametil,3251,6.34,7/12/2022,7/14/2022,14,2,Dentro do Prazo,Truck,Convencional,5.857,2148.03
943766,QuickMove,Maputo,Cuamba,1636,16.95,1/9/2023,1/13/2023,3,4,Atraso,VUC,Convencional,74040.0,88848.0
545263,Cargas Maputo,Moamba,Mocuba,9153,52.84,9/12/2022,9/13/2022,2,1,Dentro do Prazo,Truck,Convencional,5.441,2427.53
596019,TransLift,Matola,Nametil,7659,36.66,4/28/2023,5/9/2023,14,11,Dentro do Prazo,Truck,Convencional,3.96,2521.75
831450,QuickMove,Maputo,Manica,21068,23.95,11/3/2022,11/4/2022,1,1,Dentro do Prazo,Carreta,Convencional,9.074,2506.89
321339,TransLift,Matola,Nametil,9936,3.87,4/11/2022,4/25/2022,14,14,Dentro do Prazo,Truck,Convencional,4.182,2179.02
202754,QuickMove,Maputo,Montepuez,6097,34.18,8/12/2022,8/13/2022,1,1,Dentro do Prazo,Truck,Convencional,4.992,2391.99
672234,QuickMove,Maputo,Mutarara,11993,29.43,12/30/2022,12/30/2022,3,0,Dentro do Prazo,Truck,Convencional,4.844,2446.81
787142,Cargas Maputo,Moamba,Songo,4382,36.35,11/5/2022,11/14/2022,6,9,Atraso,Truck,Convencional,4.362,2326.23
737877,QuickMove,Maputo,Macia,1946,17.25,4/2/2022,4/8/2022,2,6,Atraso,VUC,Convencional,72600.0,87120.0
467434,QuickMove,Maputo,Vilankulo,425,15.0,9/13/2022,9/15/2022,2,2,Dentro do Prazo,VUC,Convencional,72400.0,86880.0
267380,QuickMove,Maputo,Nacala,3466,39.41,10/6/2022,10/14/2022,1,8,Atraso,Truck,Convencional,3.031,2533.64
745855,QuickMove,Maputo,Vilankulo,4185,3.19,3/19/2022,3/24/2022,2,5,Atraso,Truck,Convencional,4.162,2406.99
296339,QuickMove,Maputo,Marracuene,9609,34.51,3/3/2022,3/11/2022,3,8,Atraso,Truck,Convencional,4.722,2361.67
147927,QuickMove,Maputo,Nampula,1919,20.55,5/28/2023,5/29/2023,3,1,Dentro do Prazo,VUC,Convencional,85080.0,102096.0
869014,QuickMove,Maputo,Dondo,8776,26.92,2/18/2022,2/20/2022,3,2,Dentro do Prazo,Truck,Convencional,4.952,2194.94
767276,QuickMove,Maputo,Ressano Garcia,9328,17.47,1/24/2022,1/24/2022,1,0,Dentro do Prazo,Truck,Convencional,3.525,2011.23
598529,TransLift,Matola,Mueda,18003,60.75,6/3/2023,6/16/2023,12,13,Atraso,Carreta,Convencional,6.8808,2591.26
484045,QuickMove,Maputo,Mutarara,3385,51.44,2/21/2022,2/23/2022,3,2,Dentro do Prazo,Truck,Convencional,4.859,2446.83
446585,QuickMove,Maputo,Cuamba,4205,45.3,7/19/2022,7/19/2022,3,0,Dentro do Prazo,Truck,Convencional,4.278,2219.13
746698,Cargas Maputo,Moamba,Chokw�,2886,48.63,7/24/2023,7/24/2023,7,0,Dentro do Prazo,Truck,Convencional,5.2548,2199.31
823645,QuickMove,Maputo,Mandimba,11393,39.5,3/11/2022,3/16/2022,3,5,Atraso,Truck,Convencional,4.116,2600.94
506255,QuickMove,Maputo,B�zi,11374,55.83,7/19/2022,7/19/2022,2,0,Dentro do Prazo,Truck,Convencional,3.705,2377.45
207946,TransLift,Matola,Ressano Garcia,1643,22.83,7/31/2022,8/2/2022,4,2,Dentro do Prazo,VUC,Convencional,71500.0,85800.0
773548,QuickMove,Maputo,Macomia,1247,23.58,6/3/2022,6/4/2022,1,1,Dentro do Prazo,VUC,Convencional,89200.0,107040.0
129889,QuickMove,Maputo,Moc�mboa da Praia,12103,34.66,6/12/2022,6/15/2022,3,3,Dentro do Prazo,Carreta,Convencional,6.903,2359.28
939726,QuickMove,Maputo,Pemba,405,12.74,5/22/2023,5/22/2023,2,0,Dentro do Prazo,VUC,Convencional,92640.0,111168.0
257063,TransLift,Matola,Nametil,10353,21.38,5/27/2022,6/4/2022,14,8,Dentro do Prazo,Truck,Convencional,3.401,2198.08
765054,QuickMove,Maputo,Lichinga,728,27.33,3/28/2022,3/29/2022,3,1,Dentro do Prazo,VUC,Convencional,70200.0,84240.0
874959,QuickMove,Maputo,Songo,9783,30.62,1/3/2023,1/3/2023,1,0,Dentro do Prazo,Truck,Convencional,4.5564,2466.47
727271,QuickMove,Maputo,Marromeu,7450,29.1,2/5/2023,2/5/2023,2,0,Dentro do Prazo,Truck,Convencional,4.6452,2113.57
588969,QuickMove,Maputo,Dondo,10927,50.22,1/20/2022,1/29/2022,3,9,Atraso,Truck,Convencional,5.558,2298.67
893935,TransLift,Matola,Lichinga,11493,56.66,4/21/2022,4/30/2022,9,9,Dentro do Prazo,Truck,Convencional,5.836,2415.0
882038,QuickMove,Maputo,Maxixe,2899,4.87,4/19/2023,4/27/2023,3,8,Atraso,Toco,Convencional,2.892,2031.47
756829,TransLift,Matola,Chimoio,8211,41.57,8/16/2022,8/30/2022,14,14,Dentro do Prazo,Truck,Convencional,4.881,2565.86
214971,QuickMove,Maputo,Maxixe,9286,50.37,4/11/2022,4/12/2022,3,1,Dentro do Prazo,Truck,Convencional,4.691,2388.63
179722,QuickMove,Maputo,Mueda,1557,12.33,8/27/2022,8/27/2022,2,0,Dentro do Prazo,VUC,Convencional,55600.0,66720.0
932797,QuickMove,Maputo,Nacala,1524,30.91,1/21/2022,1/23/2022,1,2,Atraso,Truck,Convencional,4.132,2435.96
866354,QuickMove,Maputo,Macia,5176,4.31,6/4/2023,6/5/2023,2,1,Dentro do Prazo,Toco,Convencional,2.4444,2132.93
877576,Cargas Maputo,Moamba,Chokw�,14198,13.96,1/13/2023,1/13/2023,7,0,Dentro do Prazo,Carreta,Convencional,7.7976,2332.36
991101,QuickMove,Maputo,Nampula,18799,67.77,6/15/2022,6/15/2022,3,0,Dentro do Prazo,Carreta,Convencional,7.634,2591.16
305372,TransLift,Matola,Beira,4567,47.89,11/16/2022,11/23/2022,11,7,Dentro do Prazo,Truck,Convencional,5.241,2586.29
360302,QuickMove,Maputo,Xai-Xai,5058,9.79,3/24/2022,3/24/2022,2,0,Dentro do Prazo,Truck,Convencional,3.099,2281.72
964170,Cargas Maputo,Moamba,Mutarara,9202,12.73,1/3/2023,1/14/2023,4,11,Atraso,Truck,Convencional,6.7884,2113.15
943448,TransLift,Matola,Marracuene,1641,40.22,6/18/2023,6/20/2023,10,2,Dentro do Prazo,Truck,Convencional,3.9552,2213.75
879123,TransLift,Matola,Montepuez,5753,28.96,2/14/2022,2/21/2022,12,7,Dentro do Prazo,Toco,Convencional,1.654,2226.98
699259,ExpressCargo,Maputo,Manica,9857,45.09,1/20/2023,1/20/2023,1,0,Dentro do Prazo,Truck,Urgente,4.7502,2056.7
695427,ExpressCargo,Maputo,Angoche,1927,17.23,2/22/2023,2/22/2023,1,0,Dentro do Prazo,VUC,Urgente,1.13568,2436.36
292354,QuickMove,Maputo,Cuamba,8790,13.14,8/14/2023,8/14/2023,3,0,Dentro do Prazo,Truck,Convencional,4.8552,2211.83
799891,QuickMove,Maputo,Dondo,21320,57.89,1/26/2022,1/27/2022,3,1,Dentro do Prazo,Carreta,Convencional,9.727,2219.67
703457,TransLift,Matola,Songo,3906,29.64,3/20/2023,3/25/2023,8,5,Dentro do Prazo,Truck,Convencional,3.6708,2187.4
717507,Cargas Maputo,Moamba,Montepuez,6373,22.01,3/4/2022,3/17/2022,6,13,Atraso,Truck,Convencional,4.45,2459.34
229280,QuickMove,Maputo,Songo,7497,31.15,9/21/2022,9/21/2022,1,0,Dentro do Prazo,Truck,Convencional,3.22,2418.86
899152,QuickMove,Maputo,Macia,6422,14.97,7/5/2022,7/11/2022,2,6,Atraso,Truck,Convencional,4.64,2444.57
740580,QuickMove,Maputo,Inhambane,548,11.15,5/26/2022,5/28/2022,3,2,Dentro do Prazo,VUC,Convencional,72200.0,86640.0
414968,QuickMove,Maputo,Nampula,10566,5.45,10/28/2022,11/7/2022,3,10,Atraso,Truck,Convencional,5.067,2489.08
343191,QuickMove,Maputo,Nampula,10596,50.12,6/7/2022,6/7/2022,3,0,Dentro do Prazo,Truck,Convencional,5.477,2311.57
330912,TransLift,Matola,Tete,3438,48.88,5/13/2023,5/19/2023,7,6,Dentro do Prazo,Truck,Convencional,3.9216,2066.71
262118,QuickMove,Maputo,Mandimba,770,8.86,3/7/2023,3/10/2023,3,3,Dentro do Prazo,VUC,Convencional,1.0392,2533.25
960709,QuickMove,Maputo,Macia,933,5.39,4/1/2022,4/1/2022,2,0,Dentro do Prazo,VUC,Convencional,63800.0,76560.0
737268,QuickMove,Maputo,Gur��,2910,33.84,5/3/2022,5/3/2022,1,0,Dentro do Prazo,Carreta,Convencional,6.359,2206.63
761787,TransLift,Matola,Macia,1747,3.83,5/27/2022,5/30/2022,6,3,Dentro do Prazo,VUC,Convencional,88000.0,105600.0
970254,QuickMove,Maputo,Nametil,1988,54.46,8/30/2023,8/30/2023,2,0,Dentro do Prazo,Truck,Convencional,5.4528,2313.54
134102,QuickMove,Maputo,Gur��,9037,2.85,8/9/2023,8/10/2023,1,1,Dentro do Prazo,Truck,Convencional,5.4516,2480.54
199767,QuickMove,Maputo,Moc�mboa da Praia,1451,13.98,11/29/2022,11/30/2022,3,1,Dentro do Prazo,VUC,Convencional,77800.0,93360.0
659931,QuickMove,Maputo,Songo,16220,50.11,10/31/2022,10/31/2022,1,0,Dentro do Prazo,Carreta,Convencional,7.259,2410.71
575467,QuickMove,Maputo,Pemba,17721,45.1,6/2/2022,6/10/2022,2,8,Atraso,Carreta,Convencional,9.564,2140.48
188019,TransLift,Matola,Massinga,12683,92.19,11/4/2022,11/4/2022,5,0,Dentro do Prazo,Carreta,Convencional,8.835,2483.6
394680,QuickMove,Maputo,Macomia,6671,54.16,2/21/2023,2/28/2023,1,7,Atraso,Truck,Convencional,4.5996,2435.52
706560,QuickMove,Maputo,Manica,892,25.12,3/16/2022,3/16/2022,1,0,Dentro do Prazo,VUC,Convencional,71500.0,85800.0
336940,QuickMove,Maputo,Beira,9372,17.23,8/31/2023,8/31/2023,3,0,Dentro do Prazo,Truck,Convencional,5.406,2110.49
605792,QuickMove,Maputo,Massinga,10040,38.02,8/9/2023,8/10/2023,1,1,Dentro do Prazo,Carreta,Convencional,6.2208,2136.46
787761,QuickMove,Maputo,Maganja da Costa,1918,24.03,4/22/2022,4/28/2022,1,6,Atraso,VUC,Convencional,81300.0,97560.0
242468,TransLift,Matola,Inhambane,5098,9.04,2/6/2022,2/25/2022,13,19,Atraso,Carreta,Convencional,7.842,2552.41
106387,QuickMove,Maputo,Quelimane,3590,48.93,6/12/2023,6/12/2023,2,0,Dentro do Prazo,Truck,Convencional,6.5412,2289.85
377528,QuickMove,Maputo,Mocuba,8502,53.19,1/15/2023,1/16/2023,1,1,Dentro do Prazo,Truck,Convencional,4.0848,2400.9
862718,QuickMove,Maputo,Mocuba,4960,21.07,9/20/2022,9/21/2022,1,1,Dentro do Prazo,Truck,Convencional,3.833,2054.6
195369,TransLift,Matola,Gur��,7676,55.48,2/21/2022,3/11/2022,14,18,Atraso,Truck,Convencional,5.239,2222.29
571587,TransLift,Matola,Mutarara,1282,19.83,5/25/2022,6/8/2022,14,14,Dentro do Prazo,VUC,Convencional,79300.0,95160.0
126426,Cargas Maputo,Moamba,Lichinga,2871,91.61,7/9/2023,7/11/2023,2,2,Dentro do Prazo,Carreta,Convencional,10.9404,2527.13
159478,TransLift,Matola,Songo,7012,32.13,6/3/2022,6/15/2022,8,12,Atraso,Truck,Convencional,4.785,2298.74
811686,QuickMove,Maputo,Tete,9627,6.91,7/26/2022,7/26/2022,1,0,Dentro do Prazo,Truck,Convencional,3.196,2339.84
373373,TransLift,Matola,Mueda,10080,48.26,2/7/2022,2/7/2022,12,0,Dentro do Prazo,Truck,Convencional,5.273,2360.33
376789,QuickMove,Maputo,Ressano Garcia,1050,26.19,2/5/2023,2/5/2023,1,0,Dentro do Prazo,VUC,Convencional,89400.0,107280.0
415464,TransLift,Matola,Nampula,8088,29.06,11/16/2022,11/22/2022,4,6,Atraso,Truck,Convencional,5.295,2568.35
191095,Cargas Maputo,Moamba,Mandimba,1343,39.77,11/1/2022,11/3/2022,3,2,Dentro do Prazo,Truck,Convencional,4.057,2329.87
609860,ExpressCargo,Maputo,Xai-Xai,10586,28.77,1/28/2022,1/29/2022,2,1,Dentro do Prazo,Truck,Urgente,7.7792,2281.34
927673,ExpressCargo,Maputo,Angoche,5684,31.58,1/24/2023,1/25/2023,1,1,Dentro do Prazo,Truck,Urgente,8.97468,2535.77
176151,QuickMove,Maputo,Marromeu,7596,19.65,1/6/2023,1/6/2023,2,0,Dentro do Prazo,Truck,Convencional,4.698,2470.64
732483,TransLift,Matola,Moc�mboa da Praia,3696,50.37,6/26/2023,6/30/2023,8,4,Dentro do Prazo,Truck,Convencional,3.8052,2320.57
816100,QuickMove,Maputo,Chokw�,7409,43.73,9/14/2022,9/16/2022,2,2,Dentro do Prazo,Truck,Convencional,5.314,2265.38
259643,QuickMove,Maputo,Macomia,9285,34.23,8/4/2023,8/11/2023,1,7,Atraso,Truck,Convencional,4.3488,2466.22
196250,TransLift,Matola,Macomia,11066,6.37,2/25/2023,3/5/2023,5,8,Atraso,Truck,Convencional,7.0284,2150.43
813676,QuickMove,Maputo,Chimoio,2585,18.55,9/11/2022,9/11/2022,2,0,Dentro do Prazo,Truck,Convencional,4.949,2524.94
934453,QuickMove,Maputo,Dondo,9771,5.28,2/10/2022,2/14/2022,3,4,Atraso,Truck,Convencional,3.297,2189.96
213648,Cargas Maputo,Moamba,Marracuene,11970,45.72,6/8/2022,6/21/2022,7,13,Atraso,Carreta,Convencional,6.268,2486.52
684592,QuickMove,Maputo,Manica,4500,11.0,3/26/2023,3/27/2023,1,1,Dentro do Prazo,Toco,Convencional,2.3328,2569.8
966996,TransLift,Matola,Montepuez,845,22.94,5/28/2023,5/31/2023,12,3,Dentro do Prazo,VUC,Convencional,96720.0,116064.0
677519,QuickMove,Maputo,Mueda,1091,27.71,7/18/2023,7/18/2023,2,0,Dentro do Prazo,VUC,Convencional,1.1388,2071.37
228930,QuickMove,Maputo,Mandimba,566,25.87,4/19/2023,4/20/2023,3,1,Dentro do Prazo,VUC,Convencional,70680.0,84816.0
540351,QuickMove,Maputo,Songo,4479,39.66,6/2/2022,6/7/2022,1,5,Atraso,Truck,Convencional,5.88,2385.06
560745,QuickMove,Maputo,Xai-Xai,2006,50.44,11/7/2022,11/9/2022,2,2,Dentro do Prazo,Truck,Convencional,5.539,2516.65
722858,QuickMove,Maputo,Quelimane,2348,44.31,1/29/2023,1/29/2023,2,0,Dentro do Prazo,Truck,Convencional,5.4036,2211.48
930456,QuickMove,Maputo,Maganja da Costa,2469,22.12,7/17/2022,7/17/2022,1,0,Dentro do Prazo,Truck,Convencional,5.857,2248.03
483905,QuickMove,Maputo,Angoche,9702,27.4,8/15/2022,8/18/2022,1,3,Atraso,Truck,Convencional,5.39,2548.47
723617,QuickMove,Maputo,Macia,1147,36.61,4/12/2023,4/19/2023,2,7,Atraso,Toco,Convencional,3.0264,2459.63
244719,QuickMove,Maputo,Cuamba,4575,50.57,3/2/2023,3/2/2023,3,0,Dentro do Prazo,Carreta,Convencional,8.6136,2072.34
833443,TransLift,Matola,Macia,7160,29.66,3/4/2023,3/7/2023,6,3,Dentro do Prazo,Truck,Convencional,5.2728,2479.33
236514,QuickMove,Maputo,Cuamba,5924,44.62,12/29/2022,12/31/2022,3,2,Dentro do Prazo,Truck,Convencional,5.918,2095.1
206080,TransLift,Matola,Macia,1692,28.16,8/15/2022,8/17/2022,6,2,Dentro do Prazo,VUC,Convencional,57900.0,69480.0
536004,QuickMove,Maputo,Chimoio,5848,13.18,5/8/2022,5/17/2022,2,9,Atraso,Truck,Convencional,3.531,2134.24
199835,Cargas Maputo,Moamba,Montepuez,1883,2.05,9/4/2022,9/4/2022,6,0,Dentro do Prazo,VUC,Convencional,69100.0,82920.0
